product_id,product_name,category,unit_price,active_flag
PROD00001,Face-to-face 6thgeneration interface,Beauty,109.96,True
PROD00002,Function-based 4thgeneration portal,Sports,167.28,True
PROD00003,Triple-buffered multi-state algorithm,Beauty,74.68,True
PROD00004,Inverse next generation methodology,Toys,431.78,True
PROD00005,Polarized attitude-oriented groupware,Electronics,356.92,True
PROD00006,Intuitive tangible hardware,Home,387.99,True
PROD00007,Right-sized systematic protocol,Home,266.3,True
PROD00008,Team-oriented analyzing throughput,Grocery,126.65,True
PROD00009,Sharable human-resource standardization,Apparel,418.36,False
PROD00010,Down-sized zero-defect matrices,Books,365.15,True
PROD00011,Progressive mission-critical pricing structure,Home,473.24,True
PROD00012,Business-focused composite help-desk,Beauty,403.04,True
PROD00013,Re-engineered bandwidth-monitored solution,Books,71.84,True
PROD00014,Distributed 3rdgeneration structure,Home,157.66,True
PROD00015,Upgradable encompassing info-mediaries,Beauty,439.9,True
PROD00016,Front-line maximized concept,Apparel,132.47,True
PROD00017,Customizable incremental conglomeration,Toys,492.86,True
PROD00018,Up-sized hybrid infrastructure,Toys,227.51,True
PROD00019,Up-sized 3rdgeneration data-warehouse,Sports,13.14,True
PROD00020,Digitized content-based Graphic Interface,Electronics,342.31,True
PROD00021,Profound exuding archive,Electronics,481.91,True
PROD00022,Public-key 24hour conglomeration,Electronics,165.45,True
PROD00023,Secured foreground hardware,Toys,430.1,True
PROD00024,Switchable regional parallelism,Grocery,319.33,True
PROD00025,Re-contextualized mobile Local Area Network,Grocery,487.96,True
PROD00026,Visionary discrete success,Apparel,301.06,True
PROD00027,Persevering object-oriented customer loyalty,Books,354.06,True
PROD00028,Robust heuristic matrix,Apparel,255.14,True
PROD00029,Reduced foreground task-force,Books,18.08,False
PROD00030,Monitored asymmetric open system,Home,404.18,True
PROD00031,Stand-alone client-server extranet,Sports,56.56,True
PROD00032,Up-sized local flexibility,Apparel,450.41,True
PROD00033,Synergized attitude-oriented archive,Apparel,498.68,True
PROD00034,Cloned mission-critical service-desk,Books,464.52,True
PROD00035,Extended hybrid knowledgebase,Beauty,392.68,True
PROD00036,Advanced didactic strategy,Home,171.16,True
PROD00037,Progressive interactive circuit,Grocery,480.31,True
PROD00038,Multi-channeled hybrid projection,Beauty,23.67,True
PROD00039,Persistent intermediate benchmark,Books,406.02,True
PROD00040,Customer-focused cohesive hierarchy,Home,424.34,True
PROD00041,Realigned explicit superstructure,Toys,456.2,True
PROD00042,Diverse demand-driven database,Beauty,379.19,True
PROD00043,Assimilated 24/7 moratorium,Sports,162.2,True
PROD00044,Balanced high-level infrastructure,Grocery,148.6,True
PROD00045,Fully-configurable 5thgeneration synergy,Beauty,219.26,True
PROD00046,Profound tangible circuit,Electronics,247.15,True
PROD00047,Re-engineered composite product,Books,306.0,True
PROD00048,Function-based scalable open architecture,Sports,386.11,True
PROD00049,Devolved multimedia Local Area Network,Electronics,96.48,True
PROD00050,Face-to-face composite website,Apparel,321.54,True
PROD00051,Customizable 6thgeneration leverage,Electronics,26.46,True
PROD00052,Synergized transitional model,Grocery,177.83,True
PROD00053,Progressive dedicated artificial intelligence,Beauty,370.05,True
PROD00054,Down-sized scalable intranet,Apparel,255.85,True
PROD00055,Focused transitional interface,Electronics,455.6,True
PROD00056,Multi-channeled well-modulated frame,Apparel,446.5,True
PROD00057,Quality-focused grid-enabled collaboration,Home,357.88,True
PROD00058,Enterprise-wide 24hour leverage,Electronics,25.48,True
PROD00059,Devolved 24hour architecture,Home,462.38,False
PROD00060,Seamless local adapter,Grocery,330.82,True
PROD00061,Reactive explicit challenge,Toys,492.25,True
PROD00062,Quality-focused methodical extranet,Grocery,187.78,True
PROD00063,Synergistic asymmetric Internet solution,Electronics,80.5,True
PROD00064,Synergized transitional complexity,Sports,441.33,True
PROD00065,Pre-emptive reciprocal standardization,Sports,104.82,True
PROD00066,Optional well-modulated database,Sports,206.37,False
PROD00067,Self-enabling hybrid Graphic Interface,Beauty,190.43,True
PROD00068,Cloned cohesive process improvement,Grocery,408.91,True
PROD00069,Upgradable upward-trending Graphic Interface,Electronics,314.39,True
PROD00070,Multi-channeled full-range array,Books,67.06,True
PROD00071,Synergized tertiary adapter,Home,319.89,True
PROD00072,Ameliorated high-level artificial intelligence,Books,36.05,True
PROD00073,Automated multimedia budgetary management,Apparel,471.92,True
PROD00074,Secured exuding solution,Beauty,144.55,True
PROD00075,Public-key zero administration extranet,Sports,56.92,True
PROD00076,Triple-buffered clear-thinking capacity,Grocery,475.25,True
PROD00077,Optimized context-sensitive database,Books,102.79,True
PROD00078,Team-oriented actuating access,Electronics,236.07,True
PROD00079,Expanded intangible access,Grocery,21.9,True
PROD00080,Organized client-driven capacity,Home,381.98,True
PROD00081,Front-line fresh-thinking alliance,Grocery,219.67,True
PROD00082,Distributed value-added projection,Apparel,222.69,True
PROD00083,Progressive discrete ability,Grocery,384.97,True
